rep,group,mag,fr,rpp,coin,trialDuration,trial
1,1,5,8,0.625,0,4110,1
1,1,5,8,0.625,-0.01,6666,2
1,1,5,8,0.625,0.01,7261,3
1,2,2,8,0.25,0,4188,4
1,2,2,8,0.25,-1,7490,5
1,2,2,8,0.25,1,6825,6
1,3,1,1,1,0,4130,7
1,3,1,1,1,0.01,6891,8
1,3,1,1,1,-0.01,6902,9
1,4,2,8,0.25,0,4193,10
1,4,2,8,0.25,-0.5,6535,11
1,4,2,8,0.25,-0.01,6652,12
1,5,1,1,1,0,3978,13
1,5,1,1,1,-0.5,6888,14
1,5,1,1,1,-1,6962,15
1,6,2,16,0.125,0,3833,16
1,6,2,16,0.125,0.5,7452,17
1,6,2,16,0.125,0.01,6954,18
1,7,5,8,0.625,0,3913,19
1,7,5,8,0.625,-0.5,6956,20
1,7,5,8,0.625,0.5,7376,21
1,8,2,8,0.25,0,4005,22
1,8,2,8,0.25,0.5,7009,23
1,8,2,8,0.25,0.01,7228,24
1,9,5,8,0.625,0,4114,25
1,9,5,8,0.625,-1,7386,26
1,9,5,8,0.625,1,7221,27
1,10,2,16,0.125,0,4245,28
1,10,2,16,0.125,1,6679,29
1,10,2,16,0.125,-0.01,7207,30
1,11,1,1,1,0,3767,31
1,11,1,1,1,1,7236,32
1,11,1,1,1,0.5,6501,33
1,12,2,16,0.125,0,3826,34
1,12,2,16,0.125,-0.5,7465,35
1,12,2,16,0.125,-1,6827,36
2,1,2,8,0.25,0,4118,37
2,1,2,8,0.25,-0.5,6535,38
2,1,2,8,0.25,1,6825,39
2,2,1,1,1,0,3751,40
2,2,1,1,1,0.01,6891,41
2,2,1,1,1,-1,6962,42
2,3,2,16,0.125,0,3946,43
2,3,2,16,0.125,-0.01,7207,44
2,3,2,16,0.125,-1,6827,45
2,4,1,1,1,0,3981,46
2,4,1,1,1,0.5,6501,47
2,4,1,1,1,1,7236,48
2,5,2,16,0.125,0,3944,49
2,5,2,16,0.125,0.5,7452,50
2,5,2,16,0.125,1,6679,51
2,6,5,8,0.625,0,3951,52
2,6,5,8,0.625,-1,7386,53
2,6,5,8,0.625,-0.5,6956,54
2,7,5,8,0.625,0,3839,55
2,7,5,8,0.625,-0.01,6666,56
2,7,5,8,0.625,0.01,7261,57
2,8,2,8,0.25,0,4226,58
2,8,2,8,0.25,0.01,7228,59
2,8,2,8,0.25,-1,7490,60
2,9,1,1,1,0,3977,61
2,9,1,1,1,-0.01,6902,62
2,9,1,1,1,-0.5,6888,63
2,10,2,16,0.125,0,3913,64
2,10,2,16,0.125,0.01,6954,65
2,10,2,16,0.125,-0.5,7465,66
2,11,5,8,0.625,0,4233,67
2,11,5,8,0.625,1,7221,68
2,11,5,8,0.625,0.5,7376,69
2,12,2,8,0.25,0,4104,70
2,12,2,8,0.25,-0.01,6652,71
2,12,2,8,0.25,0.5,7009,72
